地块名称,地块类型,年份,季节,作物编号,作物名称,种植面积(亩),播种月,收获月
A1,平旱地,2024,1,4,绿豆,80.0,4,9
A1,平旱地,2025,1,5,爬豆,6.36,4,9
A1,平旱地,2025,1,7,玉米,73.64,4,9
A1,平旱地,2026,1,7,玉米,80.0,4,9
A1,平旱地,2027,1,4,绿豆,17.08,4,9
A1,平旱地,2027,1,6,小麦,62.92,4,9
A1,平旱地,2028,1,7,玉米,80.0,4,9
A1,平旱地,2029,1,4,绿豆,4.95,4,9
A1,平旱地,2029,1,7,玉米,71.58,4,9
A1,平旱地,2029,1,10,黍子,3.46,4,9
A1,平旱地,2030,1,4,绿豆,3.6,4,9
A1,平旱地,2030,1,6,小麦,45.62,4,9
A1,平旱地,2030,1,7,玉米,30.78,4,9
A2,平旱地,2024,1,6,小麦,55.0,4,9
A2,平旱地,2025,1,6,小麦,55.0,4,9
A2,平旱地,2026,1,9,高粱,33.32,4,9
A2,平旱地,2026,1,13,红薯,21.68,4,9
A2,平旱地,2027,1,3,红豆,17.23,4,9
A2,平旱地,2027,1,4,绿豆,18.21,4,9
A2,平旱地,2027,1,6,小麦,4.35,4,9
A2,平旱地,2027,1,9,高粱,3.93,4,9
A2,平旱地,2027,1,14,莜麦,11.28,4,9
A2,平旱地,2028,1,6,小麦,55.0,4,9
A2,平旱地,2029,1,6,小麦,55.0,4,9
A2,平旱地,2030,1,2,黑豆,41.56,4,9
A2,平旱地,2030,1,6,小麦,6.65,4,9
A2,平旱地,2030,1,9,高粱,6.79,4,9
A3,平旱地,2024,1,4,绿豆,12.36,4,9
A3,平旱地,2024,1,11,荞麦,22.64,4,9
A3,平旱地,2025,1,4,绿豆,19.01,4,9
A3,平旱地,2025,1,11,荞麦,15.99,4,9
A3,平旱地,2026,1,11,荞麦,35.0,4,9
A3,平旱地,2027,1,11,荞麦,35.0,4,9
A3,平旱地,2028,1,4,绿豆,20.72,4,9
A3,平旱地,2028,1,11,荞麦,14.28,4,9
A3,平旱地,2029,1,4,绿豆,6.09,4,9
A3,平旱地,2029,1,6,小麦,28.91,4,9
A3,平旱地,2030,1,4,绿豆,35.0,4,9
A4,平旱地,2024,1,8,谷子,69.13,4,9
A4,平旱地,2024,1,9,高粱,2.87,4,9
A4,平旱地,2025,1,8,谷子,72.0,4,9
A4,平旱地,2026,1,4,绿豆,59.82,4,9
A4,平旱地,2026,1,5,爬豆,7.05,4,9
A4,平旱地,2026,1,9,高粱,5.13,4,9
A4,平旱地,2027,1,2,黑豆,29.34,4,9
A4,平旱地,2027,1,9,高粱,30.15,4,9
A4,平旱地,2027,1,12,南瓜,12.51,4,9
A4,平旱地,2028,1,8,谷子,21.86,4,9
A4,平旱地,2028,1,9,高粱,50.14,4,9
A4,平旱地,2029,1,4,绿豆,4.59,4,9
A4,平旱地,2029,1,8,谷子,67.41,4,9
A4,平旱地,2030,1,8,谷子,72.0,4,9
A5,平旱地,2024,1,7,玉米,68.0,4,9
A5,平旱地,2025,1,7,玉米,68.0,4,9
A5,平旱地,2026,1,6,小麦,57.84,4,9
A5,平旱地,2026,1,7,玉米,10.16,4,9
A5,平旱地,2027,1,7,玉米,68.0,4,9
A5,平旱地,2028,1,3,红豆,55.72,4,9
A5,平旱地,2028,1,4,绿豆,8.84,4,9
A5,平旱地,2028,1,7,玉米,3.44,4,9
A5,平旱地,2029,1,3,红豆,19.34,4,9
A5,平旱地,2029,1,4,绿豆,11.3,4,9
A5,平旱地,2029,1,8,谷子,37.36,4,9
A5,平旱地,2030,1,7,玉米,68.0,4,9
A6,平旱地,2024,1,9,高粱,55.0,4,9
A6,平旱地,2025,1,4,绿豆,55.0,4,9
A6,平旱地,2026,1,7,玉米,55.0,4,9
A6,平旱地,2027,1,7,玉米,55.0,4,9
A6,平旱地,2028,1,4,绿豆,22.0,4,9
A6,平旱地,2028,1,7,玉米,15.34,4,9
A6,平旱地,2028,1,8,谷子,17.66,4,9
A6,平旱地,2029,1,7,玉米,55.0,4,9
A6,平旱地,2030,1,7,玉米,50.66,4,9
A6,平旱地,2030,1,10,黍子,4.34,4,9
B1,梯田,2024,1,3,红豆,25.66,4,9
B1,梯田,2024,1,8,谷子,34.34,4,9
B1,梯田,2025,1,2,黑豆,13.75,4,9
B1,梯田,2025,1,8,谷子,46.25,4,9
B1,梯田,2026,1,8,谷子,60.0,4,9
B1,梯田,2027,1,8,谷子,51.41,4,9
B1,梯田,2027,1,10,黍子,8.59,4,9
B1,梯田,2028,1,8,谷子,21.54,4,9
B1,梯田,2028,1,11,荞麦,38.46,4,9
B1,梯田,2029,1,2,黑豆,44.59,4,9
B1,梯田,2029,1,10,黍子,15.41,4,9
B1,梯田,2030,1,8,谷子,38.46,4,9
B1,梯田,2030,1,10,黍子,21.54,4,9
B10,梯田,2024,1,11,荞麦,25.0,4,9
B10,梯田,2025,1,8,谷子,19.75,4,9
B10,梯田,2025,1,11,荞麦,5.25,4,9
B10,梯田,2026,1,11,荞麦,25.0,4,9
B10,梯田,2027,1,2,黑豆,19.4,4,9
B10,梯田,2027,1,11,荞麦,5.6,4,9
B10,梯田,2028,1,11,荞麦,25.0,4,9
B10,梯田,2029,1,2,黑豆,0.6,4,9
B10,梯田,2029,1,8,谷子,5.25,4,9
B10,梯田,2029,1,11,荞麦,19.15,4,9
B10,梯田,2030,1,3,红豆,15.0,4,9
B10,梯田,2030,1,8,谷子,10.0,4,9
B11,梯田,2024,1,6,小麦,44.5,4,9
B11,梯田,2024,1,12,南瓜,15.5,4,9
B11,梯田,2025,1,6,小麦,60.0,4,9
B11,梯田,2026,1,2,黑豆,50.14,4,9
B11,梯田,2026,1,4,绿豆,7.65,4,9
B11,梯田,2026,1,11,荞麦,2.22,4,9
B11,梯田,2027,1,6,小麦,60.0,4,9
B11,梯田,2028,1,6,小麦,53.71,4,9
B11,梯田,2028,1,8,谷子,6.29,4,9
B11,梯田,2029,1,8,谷子,60.0,4,9
B11,梯田,2030,1,3,红豆,26.22,4,9
B11,梯田,2030,1,6,小麦,33.78,4,9
B12,梯田,2024,1,5,爬豆,3.01,4,9
B12,梯田,2024,1,8,谷子,41.99,4,9
B12,梯田,2025,1,5,爬豆,18.28,4,9
B12,梯田,2025,1,8,谷子,19.86,4,9
B12,梯田,2025,1,9,高粱,6.86,4,9
B12,梯田,2026,1,5,爬豆,16.24,4,9
B12,梯田,2026,1,6,小麦,1.97,4,9
B12,梯田,2026,1,8,谷子,26.79,4,9
B12,梯田,2027,1,8,谷子,45.0,4,9
B12,梯田,2028,1,8,谷子,45.0,4,9
B12,梯田,2029,1,5,爬豆,25.46,4,9
B12,梯田,2029,1,9,高粱,19.54,4,9
B12,梯田,2030,1,6,小麦,34.64,4,9
