年份,月份,占用面积(亩),总大棚面积(亩),利用率,产出(斤)
2024,1,0.0,12.0,0.0,0.0
2024,2,0.0,12.0,0.0,0.0
2024,3,12.0,12.0,1.0,19314.53
2024,4,12.0,12.0,1.0,19314.53
2024,5,12.0,12.0,1.0,19314.53
2024,6,12.0,12.0,1.0,19314.53
2024,7,12.0,12.0,1.0,20280.42
2024,8,12.0,12.0,1.0,20280.42
2024,9,12.0,12.0,1.0,20280.42
2024,10,12.0,12.0,1.0,20280.42
2024,11,0.0,12.0,0.0,0.0
2024,12,0.0,12.0,0.0,0.0
2025,1,0.0,12.0,0.0,0.0
2025,2,0.0,12.0,0.0,0.0
2025,3,12.0,12.0,1.0,16384.22
2025,4,12.0,12.0,1.0,16384.22
2025,5,12.0,12.0,1.0,16384.22
2025,6,12.0,12.0,1.0,16384.22
2025,7,12.0,12.0,0.9997,14811.84
2025,8,12.0,12.0,0.9997,14811.84
2025,9,12.0,12.0,0.9997,14811.84
2025,10,12.0,12.0,0.9997,14811.84
2025,11,0.0,12.0,0.0,0.0
2025,12,0.0,12.0,0.0,0.0
2026,1,0.0,12.0,0.0,0.0
2026,2,0.0,12.0,0.0,0.0
2026,3,12.0,12.0,1.0,13871.63
2026,4,12.0,12.0,1.0,13871.63
2026,5,12.0,12.0,1.0,13871.63
2026,6,12.0,12.0,1.0,13871.63
2026,7,12.0,12.0,1.0,12863.46
2026,8,12.0,12.0,1.0,12863.46
2026,9,12.0,12.0,1.0,12863.46
2026,10,12.0,12.0,1.0,12863.46
2026,11,0.0,12.0,0.0,0.0
2026,12,0.0,12.0,0.0,0.0
2027,1,0.0,12.0,0.0,0.0
2027,2,0.0,12.0,0.0,0.0
2027,3,12.0,12.0,1.0,17490.82
2027,4,12.0,12.0,1.0,17490.82
2027,5,12.0,12.0,1.0,17490.82
2027,6,12.0,12.0,1.0,17490.82
2027,7,12.0,12.0,1.0,19250.34
2027,8,12.0,12.0,1.0,19250.34
2027,9,12.0,12.0,1.0,19250.34
2027,10,12.0,12.0,1.0,19250.34
2027,11,0.0,12.0,0.0,0.0
2027,12,0.0,12.0,0.0,0.0
2028,1,0.0,12.0,0.0,0.0
2028,2,0.0,12.0,0.0,0.0
2028,3,12.0,12.0,1.0,21904.6
2028,4,12.0,12.0,1.0,21904.6
2028,5,12.0,12.0,1.0,21904.6
2028,6,12.0,12.0,1.0,21904.6
2028,7,12.0,12.0,1.0,19959.5
2028,8,12.0,12.0,1.0,19959.5
2028,9,12.0,12.0,1.0,19959.5
2028,10,12.0,12.0,1.0,19959.5
2028,11,0.0,12.0,0.0,0.0
2028,12,0.0,12.0,0.0,0.0
2029,1,0.0,12.0,0.0,0.0
2029,2,0.0,12.0,0.0,0.0
2029,3,12.0,12.0,1.0,21577.7
2029,4,12.0,12.0,1.0,21577.7
2029,5,12.0,12.0,1.0,21577.7
2029,6,12.0,12.0,1.0,21577.7
2029,7,12.0,12.0,0.9996,18883.93
2029,8,12.0,12.0,0.9996,18883.93
2029,9,12.0,12.0,0.9996,18883.93
2029,10,12.0,12.0,0.9996,18883.93
2029,11,0.0,12.0,0.0,0.0
2029,12,0.0,12.0,0.0,0.0
2030,1,0.0,12.0,0.0,0.0
2030,2,0.0,12.0,0.0,0.0
2030,3,12.0,12.0,1.0,22559.75
2030,4,12.0,12.0,1.0,22559.75
2030,5,12.0,12.0,1.0,22559.75
2030,6,12.0,12.0,1.0,22559.75
2030,7,12.0,12.0,1.0,17588.42
2030,8,12.0,12.0,1.0,17588.42
2030,9,12.0,12.0,1.0,17588.42
2030,10,12.0,12.0,1.0,17588.42
2030,11,0.0,12.0,0.0,0.0
2030,12,0.0,12.0,0.0,0.0
